                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67208,                0.78866,                 1.1475,                0.87131,                0.96806,                0.98406,                0.90461,                0.42159,                 0.4997,                 1.0364,             0.00072406,             0.00072406,             0.00072406
                     36,                0.68286,                0.70938,                 1.1815,                0.94126,                0.95959,                0.96799,                0.86668,                0.48139,                0.45137,                 1.0504,             0.00070859,             0.00070859,             0.00070859
                     37,                0.65574,                0.73084,                 1.1387,                0.93882,                0.96548,                0.98483,                0.86781,                0.47314,                0.51468,                 1.0463,             0.00069313,             0.00069313,             0.00069313
                     38,                0.59511,                 0.6965,                 1.1134,                0.95379,                 0.9976,                  0.995,                0.88471,                0.49255,                0.48869,                  1.074,             0.00067766,             0.00067766,             0.00067766
                     39,                0.62973,                0.69856,                 1.1354,                0.95375,                0.99496,                0.98865,                0.87437,                0.47308,                0.43081,                  1.068,             0.00066219,             0.00066219,             0.00066219
                     40,                0.63763,                0.70223,                 1.1429,                0.95353,                0.92062,                0.98452,                0.88821,                 0.4439,                0.48287,                 1.0355,             0.00064672,             0.00064672,             0.00064672
                     41,                0.59942,                0.67985,                 1.1078,                0.95931,                0.99157,                  0.995,                0.91044,                0.43546,                0.42066,                 1.0014,             0.00063125,             0.00063125,             0.00063125
                     42,                0.60634,                0.69228,                 1.1169,                0.94296,                0.98761,                0.99312,                0.84015,                0.60701,                0.44501,                 1.1307,             0.00061578,             0.00061578,             0.00061578
                     43,                0.59081,                0.68819,                 1.0993,                0.96355,                0.98196,                  0.995,                0.88475,                0.47139,                0.39622,                 1.0515,             0.00060031,             0.00060031,             0.00060031
                     44,                0.58808,                0.71468,                 1.1076,                0.88048,                0.98478,                  0.995,                0.90383,                0.40608,                0.47792,                0.99282,             0.00058484,             0.00058484,             0.00058484
                     45,                0.59227,                0.69883,                 1.1269,                 0.9824,                0.99662,                  0.995,                 0.8979,                0.45866,                0.39438,                 1.0347,             0.00056938,             0.00056938,             0.00056938
                     46,                0.56671,                0.63599,                 1.0945,                0.96909,                0.99957,                0.99297,                0.86656,                0.51076,                0.40023,                 1.0597,             0.00055391,             0.00055391,             0.00055391
                     47,                0.58157,                0.66481,                  1.097,                0.96379,                0.98031,                0.99399,                0.90243,                0.43538,                0.45085,                 1.0128,             0.00053844,             0.00053844,             0.00053844
                     48,                0.56802,                0.66204,                 1.0834,                0.98604,                 0.9265,                0.98275,                0.90621,                 0.4209,                 0.4967,                 1.0169,             0.00052297,             0.00052297,             0.00052297
                     49,                0.57286,                0.65413,                 1.0983,                0.94575,                0.99059,                0.98693,                0.92327,                0.35889,                0.40335,                0.98014,              0.0005075,              0.0005075,              0.0005075
                     50,                0.54888,                0.67483,                 1.0901,                0.98436,                0.98591,                  0.995,                0.92485,                0.34587,                0.37083,                0.98214,             0.00049203,             0.00049203,             0.00049203
                     51,                0.55679,                0.67652,                 1.1123,                0.97763,                0.98931,                0.99357,                0.92741,                0.36742,                0.37029,                0.99704,             0.00047656,             0.00047656,             0.00047656
                     52,                0.54044,                 0.6623,                 1.0711,                0.97141,                0.96488,                0.99106,                0.92834,                0.41036,                0.49656,                 1.0217,             0.00046109,             0.00046109,             0.00046109
                     53,                0.53401,                0.63702,                 1.0671,                0.97341,                0.98128,                0.99315,                0.92773,                0.38261,                0.40594,                0.99678,             0.00044563,             0.00044563,             0.00044563
                     54,                0.52296,                0.62116,                 1.0516,                0.97772,                0.99537,                0.99486,                0.92523,                0.36295,                0.38638,                0.96964,             0.00043016,             0.00043016,             0.00043016
                     55,                0.50008,                0.64147,                  1.055,                0.94816,                 0.9625,                0.99155,                0.92063,                0.35886,                0.44701,                0.97624,             0.00041469,             0.00041469,             0.00041469
                     56,                0.55083,                0.64724,                 1.0764,                0.99412,                0.97017,                  0.995,                0.93559,                0.36533,                0.32385,                0.98361,             0.00039922,             0.00039922,             0.00039922
                     57,                0.52346,                 0.6392,                 1.0638,                 0.9077,                0.96552,                0.99261,                0.92471,                0.34937,                0.48344,                0.96203,             0.00038375,             0.00038375,             0.00038375
