                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40909,                0.32068,                 1.0555,                0.98783,                0.99644,                  0.995,                0.96402,                0.30634,                0.23844,                0.92586,              0.0003375,              0.0003375,              0.0003375
                      2,                0.44807,                0.30523,                 1.0712,                0.97751,                0.94835,                0.99283,                0.93245,                0.35194,                0.40797,                0.94801,             0.00068131,             0.00068131,             0.00068131
                      3,                0.48572,                0.33841,                  1.103,                0.95755,                0.96325,                0.98058,                0.89791,                0.43725,                0.38198,                 1.0266,              0.0010188,              0.0010188,              0.0010188
                      4,                0.50246,                0.37229,                 1.1131,                0.92209,                0.94076,                0.98963,                0.89734,                0.43002,                0.62782,                 1.0264,              0.0012163,              0.0012163,              0.0012163
                      5,                0.54384,                0.37257,                 1.1453,                0.67283,                0.73828,                0.85185,                0.68378,                0.95854,                 1.2013,                 1.5184,               0.001205,               0.001205,               0.001205
                      6,                0.52677,                0.35679,                  1.127,                0.86967,                0.57134,                0.80787,                 0.6755,                0.62027,                 1.2987,                  1.216,              0.0011938,              0.0011938,              0.0011938
                      7,                0.51731,                0.35211,                 1.1205,                0.93661,                 0.9225,                0.95804,                0.82703,                0.53442,                0.54779,                 1.0528,              0.0011825,              0.0011825,              0.0011825
                      8,                0.48567,                0.33352,                 1.0945,                0.93089,                0.97479,                0.99057,                0.91331,                0.41628,                0.36217,                 1.0105,              0.0011713,              0.0011713,              0.0011713
                      9,                 0.4764,                0.32493,                  1.088,                 0.8765,                0.92833,                0.97889,                0.85877,                0.50851,                0.47782,                  1.081,                0.00116,                0.00116,                0.00116
                     10,                0.49354,                0.33132,                 1.0968,                 0.9474,                0.87379,                0.97741,                0.86495,                0.55103,                0.47289,                  1.119,              0.0011488,              0.0011488,              0.0011488
                     11,                0.48046,                0.31746,                 1.0879,                0.97511,                0.95328,                0.98745,                0.91332,                0.41333,                0.34471,                0.98267,              0.0011375,              0.0011375,              0.0011375
                     12,                0.45107,                0.30699,                 1.0588,                0.83182,                0.86211,                0.90162,                0.75903,                0.60262,                0.73044,                 1.1825,              0.0011263,              0.0011263,              0.0011263
                     13,                0.44128,                0.29034,                 1.0608,                0.99124,                0.96173,                  0.995,                0.92915,                0.38591,                0.30746,                0.97282,               0.001115,               0.001115,               0.001115
                     14,                0.44712,                0.29577,                 1.0559,                0.99321,                0.99169,                  0.995,                0.94504,                0.34299,                0.27029,                0.94628,              0.0011038,              0.0011038,              0.0011038
                     15,                0.43578,                0.28812,                 1.0502,                0.94315,                0.90388,                0.97705,                0.93077,                0.34848,                0.39151,                0.92193,              0.0010925,              0.0010925,              0.0010925
                     16,                0.43598,                0.29264,                 1.0506,                0.94599,                 0.9416,                0.97308,                0.92248,                0.36444,                0.33844,                0.95995,              0.0010812,              0.0010812,              0.0010812
                     17,                0.42566,                0.28206,                 1.0471,                0.92498,                0.91262,                0.96335,                0.87146,                0.44383,                0.55806,                 1.0164,                0.00107,                0.00107,                0.00107
                     18,                0.41569,                0.27011,                 1.0288,                 0.9328,                0.96854,                0.98911,                0.92711,                0.38853,                0.32439,                0.95419,              0.0010588,              0.0010588,              0.0010588
                     19,                0.41787,                 0.2688,                 1.0345,                0.97778,                0.98124,                  0.995,                0.95339,                0.30646,                0.29683,                0.91262,              0.0010475,              0.0010475,              0.0010475
                     20,                 0.4071,                0.27072,                 1.0264,                  0.974,                0.98052,                  0.995,                0.95341,                0.29335,                0.27575,                0.90071,              0.0010363,              0.0010363,              0.0010363
                     21,                0.39242,                0.26822,                  1.015,                0.93899,                0.77181,                0.87681,                0.76287,                0.53423,                0.56805,                 1.1284,               0.001025,               0.001025,               0.001025
                     22,                0.39891,                0.26627,                 1.0139,                0.99148,                0.98083,                  0.995,                0.93303,                0.34746,                0.27546,                 0.9302,              0.0010137,              0.0010137,              0.0010137
                     23,                0.39019,                 0.2614,                 1.0073,                0.97343,                0.94513,                0.98707,                 0.9066,                0.37965,                0.32489,                0.99135,              0.0010025,              0.0010025,              0.0010025
                     24,                0.39037,                0.25741,                  1.017,                0.99245,                0.99473,                  0.995,                0.95278,                0.30748,                0.23987,                0.89915,             0.00099125,             0.00099125,             0.00099125
                     25,                0.39251,                0.25197,                 1.0154,                0.98898,                0.98684,                  0.995,                0.95462,                0.32191,                0.25595,                0.92553,                0.00098,                0.00098,                0.00098
                     26,                0.38043,                0.25074,                 1.0096,                0.98138,                0.97238,                0.99071,                0.96299,                0.30036,                0.25811,                0.90437,             0.00096875,             0.00096875,             0.00096875
                     27,                0.37514,                0.25797,                 1.0095,                0.96728,                0.93893,                0.98401,                0.96019,                0.28018,                0.31414,                0.89466,              0.0009575,              0.0009575,              0.0009575
                     28,                0.36919,                0.25489,                0.99367,                0.87804,                0.94739,                0.93979,                0.91155,                0.28786,                 0.4567,                0.89445,             0.00094625,             0.00094625,             0.00094625
                     29,                 0.3664,                0.24105,                0.98999,                0.99071,                      1,                  0.995,                0.96781,                0.26572,                0.23024,                0.87988,               0.000935,               0.000935,               0.000935
                     30,                0.35888,                 0.2431,                0.98014,                 0.9231,                0.96916,                 0.9794,                0.92724,                0.36139,                0.37594,                 0.9233,             0.00092375,             0.00092375,             0.00092375
                     31,                0.34572,                0.23969,                0.97713,                0.99126,                      1,                  0.995,                0.97792,                0.27134,                0.23697,                0.87827,              0.0009125,              0.0009125,              0.0009125
