                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.34868,                0.23985,                0.98392,                0.97676,                0.98032,                  0.995,                0.96877,                0.30127,                  0.274,                0.89356,             0.00090125,             0.00090125,             0.00090125
                     33,                 0.3449,                0.23709,                0.97679,                0.98874,                      1,                  0.995,                0.96226,                0.30341,                0.23619,                0.90315,                0.00089,                0.00089,                0.00089
                     34,                0.34395,                0.22919,                0.98203,                0.98856,                0.96355,                  0.995,                 0.9755,                0.27404,                0.26305,                 0.8772,             0.00087875,             0.00087875,             0.00087875
                     35,                0.34495,                0.22799,                0.97343,                0.90797,                      1,                0.99464,                0.96968,                0.26835,                0.28174,                0.88443,              0.0008675,              0.0008675,              0.0008675
                     36,                0.35591,                0.23955,                0.98368,                0.99195,                0.99924,                  0.995,                 0.9772,                0.26426,                0.19817,                0.87402,             0.00085625,             0.00085625,             0.00085625
                     37,                0.32871,                0.22302,                0.96585,                0.98509,                0.99257,                  0.995,                0.98997,                 0.2523,                 0.2173,                 0.8697,               0.000845,               0.000845,               0.000845
                     38,                0.32801,                0.22638,                0.98029,                0.99366,                      1,                  0.995,                0.97505,                0.28299,                 0.2139,                0.88693,             0.00083375,             0.00083375,             0.00083375
                     39,                0.32173,                0.22365,                0.95759,                 0.9954,                0.97491,                0.99346,                0.98522,                0.24355,                0.20577,                0.86796,              0.0008225,              0.0008225,              0.0008225
                     40,                0.33539,                0.22807,                0.97108,                0.99132,                0.98625,                  0.995,                0.98015,                0.26514,                0.22735,                0.87837,             0.00081125,             0.00081125,             0.00081125
                     41,                0.31529,                0.22094,                0.95911,                0.97707,                0.97209,                0.99191,                0.95753,                0.30103,                0.24945,                0.89477,                 0.0008,                 0.0008,                 0.0008
                     42,                0.31737,                0.21978,                0.96472,                0.98107,                0.96545,                0.99346,                0.97171,                0.28449,                0.22358,                0.87866,             0.00078875,             0.00078875,             0.00078875
                     43,                0.32153,                0.21498,                0.95923,                0.95968,                0.94629,                0.99346,                0.98268,                 0.2425,                0.26148,                 0.8616,              0.0007775,              0.0007775,              0.0007775
                     44,                0.30157,                0.21294,                0.94647,                0.99438,                      1,                  0.995,                0.99046,                0.23127,                0.18562,                0.85265,             0.00076625,             0.00076625,             0.00076625
                     45,                0.29995,                0.21009,                0.93499,                0.98008,                0.99102,                 0.9929,                0.97853,                0.25166,                0.22327,                0.86656,               0.000755,               0.000755,               0.000755
                     46,                0.29236,                0.21009,                 0.9353,                0.96407,                0.95978,                0.98875,                0.97281,                0.25037,                0.25708,                0.86161,             0.00074375,             0.00074375,             0.00074375
                     47,                0.31034,                0.21131,                0.95693,                 0.9705,                0.97214,                  0.995,                0.98498,                0.22728,                 0.2111,                0.85482,              0.0007325,              0.0007325,              0.0007325
                     48,                0.29474,                0.20889,                0.94204,                0.98851,                0.98108,                  0.995,                0.98191,                0.23307,                0.19716,                0.85206,             0.00072125,             0.00072125,             0.00072125
                     49,                0.29772,                 0.2112,                0.93741,                0.99337,                      1,                  0.995,                0.98295,                0.23672,                0.18479,                0.85915,                0.00071,                0.00071,                0.00071
                     50,                0.32019,                0.21523,                0.96107,                0.97344,                0.95186,                0.99346,                0.98017,                0.23312,                0.23227,                0.85483,             0.00069875,             0.00069875,             0.00069875
                     51,                0.29857,                0.20608,                0.93821,                0.97748,                0.97905,                  0.995,                0.98815,                0.25053,                0.22179,                  0.864,              0.0006875,              0.0006875,              0.0006875
                     52,                 0.2805,                0.20345,                0.93584,                0.98952,                0.99769,                  0.995,                0.97728,                0.22003,                0.18468,                0.85433,             0.00067625,             0.00067625,             0.00067625
                     53,                0.28424,                0.19992,                0.93681,                0.99433,                0.99955,                  0.995,                0.97756,                0.22917,                0.19198,                0.85905,               0.000665,               0.000665,               0.000665
                     54,                 0.2651,                0.19685,                0.92165,                0.99579,                      1,                  0.995,                0.98916,                0.20644,                0.18842,                0.83944,             0.00065375,             0.00065375,             0.00065375
                     55,                0.27013,                0.19248,                0.92373,                0.99263,                      1,                  0.995,                0.98481,                0.23505,                 0.1833,                0.84873,              0.0006425,              0.0006425,              0.0006425
                     56,                0.28004,                0.19842,                0.92345,                0.99175,                0.99822,                  0.995,                  0.976,                0.21195,                0.17251,                0.84901,             0.00063125,             0.00063125,             0.00063125
                     57,                0.26065,                0.18316,                0.91651,                0.99508,                      1,                  0.995,                0.98866,                0.19787,                0.15748,                0.83886,                0.00062,                0.00062,                0.00062
                     58,                0.26759,                0.19048,                 0.9139,                0.99206,                      1,                  0.995,                0.98895,                0.21927,                 0.1712,                 0.8468,             0.00060875,             0.00060875,             0.00060875
                     59,                0.25458,                0.18598,                0.91401,                 0.9883,                      1,                  0.995,                0.98788,                0.21742,                0.17568,                0.83867,              0.0005975,              0.0005975,              0.0005975
                     60,                0.26216,                0.18896,                 0.9237,                0.95127,                      1,                0.99324,                0.99151,                0.20191,                0.17366,                0.83508,             0.00058625,             0.00058625,             0.00058625
                     61,                0.26099,                 0.1847,                0.92137,                0.98627,                0.99807,                  0.995,                0.98623,                0.19452,                0.17442,                0.83574,               0.000575,               0.000575,               0.000575
                     62,                0.25622,                0.18601,                0.90205,                0.99412,                      1,                  0.995,                0.98885,                0.18739,                0.15485,                0.83469,             0.00056375,             0.00056375,             0.00056375
                     63,                 0.2463,                0.17819,                0.90147,                0.99489,                      1,                  0.995,                0.98653,                0.19347,                0.15515,                0.82991,              0.0005525,              0.0005525,              0.0005525
                     64,                0.24947,                   0.18,                0.90422,                 0.9797,                0.97843,                  0.995,                0.98326,                0.22029,                0.20473,                0.85874,             0.00054125,             0.00054125,             0.00054125
                     65,                0.25084,                0.17915,                0.91081,                0.97963,                0.99609,                  0.995,                0.98975,                0.19597,                0.17153,                0.82935,                0.00053,                0.00053,                0.00053
                     66,                0.25228,                0.17681,                0.90757,                0.99685,                0.99775,                  0.995,                 0.9922,                0.20569,                 0.1662,                0.83701,             0.00051875,             0.00051875,             0.00051875
                     67,                0.25024,                0.17996,                0.91225,                0.99338,                      1,                  0.995,                0.98577,                0.21415,                0.17316,                0.84339,              0.0005075,              0.0005075,              0.0005075
                     68,                0.24331,                0.17611,                0.89867,                0.99505,                0.99281,                  0.995,                0.99177,                0.18722,                0.16397,                0.84667,             0.00049625,             0.00049625,             0.00049625
                     69,                0.24243,                0.17633,                0.90538,                0.99483,                      1,                  0.995,                0.98744,                0.20044,                0.15965,                0.83549,               0.000485,               0.000485,               0.000485
                     70,                0.23086,                0.16946,                0.89881,                0.99329,                      1,                  0.995,                0.99255,                0.19009,                0.16041,                0.82567,             0.00047375,             0.00047375,             0.00047375
                     71,                0.23774,                0.17064,                0.90499,                 0.9959,                      1,                  0.995,                0.98779,                0.18932,                0.15078,                0.82956,              0.0004625,              0.0004625,              0.0004625
                     72,                0.21943,                0.16322,                  0.893,                0.99624,                      1,                  0.995,                0.99097,                0.18231,                0.14209,                0.83005,             0.00045125,             0.00045125,             0.00045125
                     73,                0.22536,                0.16559,                0.89365,                0.99242,                      1,                  0.995,                0.99263,                0.18769,                0.14713,                0.82708,                0.00044,                0.00044,                0.00044
                     74,                0.21879,                0.16549,                0.88662,                0.98123,                0.99667,                  0.995,                0.99023,                0.19477,                0.15673,                0.83832,             0.00042875,             0.00042875,             0.00042875
                     75,                0.22982,                0.16657,                0.89317,                0.99337,                0.98047,                  0.995,                0.98914,                0.17917,                0.15539,                0.82978,              0.0004175,              0.0004175,              0.0004175
                     76,                0.23165,                 0.1708,                0.89225,                 0.9887,                0.98024,                  0.995,                0.99125,                0.17596,                0.15986,                0.82296,             0.00040625,             0.00040625,             0.00040625
                     77,                0.21677,                0.16254,                0.88778,                0.99539,                      1,                  0.995,                0.99396,                 0.1758,                0.14488,                 0.8224,               0.000395,               0.000395,               0.000395
                     78,                0.22328,                0.16139,                0.88929,                 0.9961,                      1,                  0.995,                  0.995,                0.16381,                0.12861,                0.81984,             0.00038375,             0.00038375,             0.00038375
                     79,                0.22123,                0.16382,                 0.8888,                0.99574,                0.98156,                  0.995,                0.99092,                 0.1751,                0.15825,                0.83034,              0.0003725,              0.0003725,              0.0003725
                     80,                0.21343,                0.15866,                0.88192,                0.99501,                      1,                  0.995,                 0.9937,                0.16545,                0.13829,                0.82137,             0.00036125,             0.00036125,             0.00036125
                     81,                0.20932,                0.15797,                0.88597,                0.99347,                      1,                  0.995,                0.99147,                0.17428,                0.14949,                0.83144,                0.00035,                0.00035,                0.00035
                     82,                0.21201,                0.15903,                0.88261,                 0.9936,                      1,                  0.995,                0.99233,                0.16381,                0.14195,                0.82199,             0.00033875,             0.00033875,             0.00033875
                     83,                0.20907,                0.15587,                0.87011,                0.99473,                      1,                  0.995,                0.99473,                0.16783,                 0.1332,                0.81857,              0.0003275,              0.0003275,              0.0003275
                     84,                0.21241,                0.15884,                0.87722,                0.99393,                      1,                  0.995,                0.99318,                0.17089,                0.13746,                0.81787,             0.00031625,             0.00031625,             0.00031625
                     85,                0.20428,                0.15424,                0.87397,                0.99617,                      1,                  0.995,                0.99399,                0.15866,                0.12762,                0.81702,               0.000305,               0.000305,               0.000305
                     86,                0.19746,                0.15078,                0.87748,                0.99677,                      1,                  0.995,                0.99399,                0.16105,                 0.1269,                 0.8166,             0.00029375,             0.00029375,             0.00029375
                     87,                 0.1993,                0.15081,                0.87524,                 0.9959,                      1,                  0.995,                0.99367,                0.16486,                 0.1303,                0.81604,              0.0002825,              0.0002825,              0.0002825
                     88,                 0.1959,                0.14812,                 0.8748,                0.99352,                      1,                  0.995,                  0.995,                0.15426,                0.13224,                0.81406,             0.00027125,             0.00027125,             0.00027125
                     89,                0.18845,                0.14411,                0.86892,                0.99534,                      1,                  0.995,                  0.995,                0.15473,                0.13033,                0.81554,                0.00026,                0.00026,                0.00026
                     90,                0.19248,                0.14755,                0.86592,                0.99482,                      1,                  0.995,                0.99359,                0.16434,                0.13624,                0.81899,             0.00024875,             0.00024875,             0.00024875
                     91,                0.19179,                 0.1467,                0.86938,                0.99107,                      1,                  0.995,                0.99399,                0.16355,                0.13644,                0.81594,              0.0002375,              0.0002375,              0.0002375
                     92,                0.19523,                0.14859,                0.86615,                0.99648,                      1,                  0.995,                  0.995,                0.15977,                0.12968,                0.81363,             0.00022625,             0.00022625,             0.00022625
                     93,                0.18529,                0.14375,                0.86987,                0.99473,                      1,                  0.995,                0.99261,                0.15141,                0.12291,                0.81225,               0.000215,               0.000215,               0.000215
                     94,                 0.1818,                 0.1408,                0.86727,                0.98897,                      1,                  0.995,                0.99399,                0.15444,                0.13001,                 0.8147,             0.00020375,             0.00020375,             0.00020375
                     95,                0.18542,                0.14304,                0.86785,                0.99293,                      1,                  0.995,                0.99227,                0.14879,                0.12688,                0.81179,              0.0001925,              0.0001925,              0.0001925
                     96,                0.18204,                0.14055,                 0.8633,                0.99378,                      1,                  0.995,                  0.995,                0.15248,                0.12562,                0.81232,             0.00018125,             0.00018125,             0.00018125
                     97,                0.18641,                0.14354,                0.86583,                0.99504,                      1,                  0.995,                0.99434,                0.14387,                0.13118,                0.80976,                0.00017,                0.00017,                0.00017
                     98,                0.18295,                0.13804,                0.86556,                0.99415,                      1,                  0.995,                  0.995,                0.14564,                 0.1272,                0.80997,             0.00015875,             0.00015875,             0.00015875
                     99,                0.17605,                0.13598,                0.85871,                0.99733,                      1,                  0.995,                  0.995,                0.14251,                0.11229,                0.80809,              0.0001475,              0.0001475,              0.0001475
                    100,                0.17077,                0.13514,                0.85839,                0.99477,                      1,                  0.995,                0.99399,                0.14536,                 0.1196,                0.81122,             0.00013625,             0.00013625,             0.00013625
                    101,                0.17085,                0.13394,                0.86804,                 0.9959,                      1,                  0.995,                  0.995,                0.14083,                0.11636,                0.80761,               0.000125,               0.000125,               0.000125
                    102,                0.16951,                0.13502,                0.86015,                  0.998,                      1,                  0.995,                  0.995,                0.13846,                0.11569,                 0.8064,             0.00011375,             0.00011375,             0.00011375
                    103,                 0.1654,                0.13214,                0.86581,                0.99923,                      1,                  0.995,                  0.995,                 0.1378,                0.11376,                0.80596,              0.0001025,              0.0001025,              0.0001025
                    104,                0.16789,                0.13194,                0.84846,                0.99735,                      1,                  0.995,                0.99405,                 0.1361,                 0.1104,                0.80455,              9.125e-05,              9.125e-05,              9.125e-05
                    105,                0.16737,                0.13246,                0.86022,                0.99713,                      1,                  0.995,                  0.995,                0.13379,                0.11312,                0.80495,                  8e-05,                  8e-05,                  8e-05
                    106,                0.16126,                0.12811,                0.85609,                0.99526,                      1,                  0.995,                  0.995,                0.13869,                0.11733,                0.80465,              6.875e-05,              6.875e-05,              6.875e-05
                    107,                0.16192,                0.12892,                0.85531,                0.99363,                      1,                  0.995,                0.99454,                0.13509,                0.11021,                0.80613,               5.75e-05,               5.75e-05,               5.75e-05
                    108,                0.15873,                0.12843,                0.85212,                0.99447,                      1,                  0.995,                  0.995,                0.13617,                0.11696,                0.80596,              4.625e-05,              4.625e-05,              4.625e-05
                    109,                0.16282,                0.12773,                0.85398,                0.99503,                      1,                  0.995,                  0.995,                0.13475,                0.11751,                0.80603,                3.5e-05,                3.5e-05,                3.5e-05
                    110,                 0.1547,                0.12479,                0.85106,                0.99534,                      1,                  0.995,                  0.995,                0.13428,                 0.1161,                0.80578,              2.375e-05,              2.375e-05,              2.375e-05
